Tournament,Stage,Match Type,Map,Agent,Pick Rate
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,raze,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,viper,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,skye,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,astra,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,killjoy,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,jett,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,breach,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,omen,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,kayo,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,fade,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,cypher,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,brimstone,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,harbor,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,chamber,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,sova,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,iso,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,gekko,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,neon,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Lotus,yoru,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,raze,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,viper,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,skye,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,astra,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,killjoy,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,jett,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,breach,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,omen,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,kayo,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,fade,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,cypher,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,brimstone,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,harbor,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,chamber,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,sova,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,iso,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,gekko,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,neon,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,yoru,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,raze,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,viper,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,skye,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,astra,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,killjoy,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,jett,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,breach,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,omen,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,kayo,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,fade,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,cypher,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,brimstone,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,harbor,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,chamber,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,sova,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,iso,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,gekko,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,neon,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Pearl,yoru,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,killjoy,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,jett,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,skye,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,viper,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,omen,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,harbor,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,astra,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,sova,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,raze,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,kayo,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,chamber,0.0
